,Date,Region,Confirmed,Deaths,Recovered
139,01/30/2020,US,5,0,0
140,01/30/2020,United Arab Emirates,4,0,0
141,01/30/2020,Vietnam,2,0,0
142,01/31/2020,Australia,9,0,2
143,01/31/2020,Cambodia,1,0,0
144,01/31/2020,Canada,3,0,0
145,01/31/2020,Finland,1,0,0
146,01/31/2020,France,5,0,0
147,01/31/2020,Germany,5,0,0
148,01/31/2020,Hong Kong,12,0,0
149,01/31/2020,India,1,0,0
150,01/31/2020,Italy,2,0,0
151,01/31/2020,Japan,15,0,1
152,01/31/2020,Macau,7,0,0
153,01/31/2020,Mainland China,9783,213,214
154,01/31/2020,Malaysia,8,0,0
155,01/31/2020,Nepal,1,0,0
156,01/31/2020,Philippines,1,0,0
157,01/31/2020,Russia,2,0,0
158,01/31/2020,Singapore,13,0,0
159,01/31/2020,South Korea,11,0,0
160,01/31/2020,Sri Lanka,1,0,0
161,01/31/2020,Sweden,1,0,0
162,01/31/2020,Taiwan,10,0,0
163,01/31/2020,Thailand,19,0,5
164,01/31/2020,UK,2,0,0
165,01/31/2020,US,6,0,0
166,01/31/2020,United Arab Emirates,4,0,0
167,01/31/2020,Vietnam,2,0,0
168,02/01/2020,Australia,12,0,2
169,02/01/2020,Cambodia,1,0,0
170,02/01/2020,Canada,4,0,0
171,02/01/2020,Finland,1,0,0
172,02/01/2020,France,6,0,0
173,02/01/2020,Germany,8,0,0
174,02/01/2020,Hong Kong,13,0,0
175,02/01/2020,India,1,0,0
176,02/01/2020,Italy,2,0,0
177,02/01/2020,Japan,20,0,1
178,02/01/2020,Macau,7,0,0
179,02/01/2020,Mainland China,11871,259,275
180,02/01/2020,Malaysia,8,0,0
181,02/01/2020,Nepal,1,0,0
182,02/01/2020,Philippines,1,0,0
183,02/01/2020,Russia,2,0,0
184,02/01/2020,Singapore,16,0,0
185,02/01/2020,South Korea,12,0,0
186,02/01/2020,Spain,1,0,0
187,02/01/2020,Sri Lanka,1,0,0
188,02/01/2020,Sweden,1,0,0
189,02/01/2020,Taiwan,10,0,0
190,02/01/2020,Thailand,19,0,5
191,02/01/2020,UK,2,0,0
192,02/01/2020,US,8,0,0
193,02/01/2020,United Arab Emirates,4,0,0
194,02/01/2020,Vietnam,6,0,1
195,02/02/2020,Australia,12,0,2
196,02/02/2020,Cambodia,1,0,0
197,02/02/2020,Canada,4,0,0
198,02/02/2020,Finland,1,0,0
199,02/02/2020,France,6,0,0
200,02/02/2020,Germany,10,0,0
201,02/02/2020,Hong Kong,15,0,0
202,02/02/2020,India,2,0,0
203,02/02/2020,Italy,2,0,0
204,02/02/2020,Japan,20,0,1
205,02/02/2020,Macau,8,0,0
206,02/02/2020,Mainland China,16607,361,463
207,02/02/2020,Malaysia,8,0,0
208,02/02/2020,Nepal,1,0,0
209,02/02/2020,Philippines,2,1,0
210,02/02/2020,Russia,2,0,0
211,02/02/2020,Singapore,18,0,0
212,02/02/2020,South Korea,15,0,0
213,02/02/2020,Spain,1,0,0
214,02/02/2020,Sri Lanka,1,0,0
215,02/02/2020,Sweden,1,0,0
216,02/02/2020,Taiwan,10,0,0
217,02/02/2020,Thailand,19,0,5
218,02/02/2020,UK,2,0,0
219,02/02/2020,US,8,0,0
220,02/02/2020,United Arab Emirates,5,0,0
221,02/02/2020,Vietnam,6,0,1
222,02/03/2020,Australia,12,0,2
223,02/03/2020,Cambodia,1,0,0
224,02/03/2020,Canada,4,0,0
225,02/03/2020,Finland,1,0,0
226,02/03/2020,France,6,0,0
227,02/03/2020,Germany,12,0,0
228,02/03/2020,Hong Kong,15,0,0
229,02/03/2020,India,3,0,0
230,02/03/2020,Italy,2,0,0
231,02/03/2020,Japan,20,0,1
232,02/03/2020,Macau,8,0,0
233,02/03/2020,Mainland China,19693,425,614
234,02/03/2020,Malaysia,8,0,0
235,02/03/2020,Nepal,1,0,0
236,02/03/2020,Philippines,2,1,0
237,02/03/2020,Russia,2,0,0
238,02/03/2020,Singapore,18,0,0
239,02/03/2020,South Korea,15,0,0
240,02/03/2020,Spain,1,0,0
241,02/03/2020,Sri Lanka,1,0,0
242,02/03/2020,Sweden,1,0,0
243,02/03/2020,Taiwan,10,0,0
244,02/03/2020,Thailand,19,0,5
245,02/03/2020,UK,2,0,0
246,02/03/2020,US,11,0,0
247,02/03/2020,United Arab Emirates,5,0,0
248,02/03/2020,Vietnam,8,0,1
249,02/04/2020,Australia,13,0,2
250,02/04/2020,Belgium,1,0,0
251,02/04/2020,Cambodia,1,0,0
252,02/04/2020,Canada,4,0,0
253,02/04/2020,Finland,1,0,0
254,02/04/2020,France,6,0,0
255,02/04/2020,Germany,12,0,0
256,02/04/2020,Hong Kong,17,1,0
257,02/04/2020,India,3,0,0
258,02/04/2020,Italy,2,0,0
259,02/04/2020,Japan,22,0,1
260,02/04/2020,Macau,10,0,0
261,02/04/2020,Mainland China,23680,490,843
262,02/04/2020,Malaysia,10,0,0
263,02/04/2020,Nepal,1,0,0
264,02/04/2020,Philippines,2,1,0
265,02/04/2020,Russia,2,0,0
266,02/04/2020,Singapore,24,0,0
267,02/04/2020,South Korea,16,0,0
268,02/04/2020,Spain,1,0,0
269,02/04/2020,Sri Lanka,1,0,0
270,02/04/2020,Sweden,1,0,0
271,02/04/2020,Taiwan,11,0,0
272,02/04/2020,Thailand,25,0,5
273,02/04/2020,UK,2,0,0
274,02/04/2020,US,11,0,0
275,02/04/2020,United Arab Emirates,5,0,0
276,02/04/2020,Vietnam,8,0,1
277,02/05/2020,Australia,13,0,2
278,02/05/2020,Belgium,1,0,0
279,02/05/2020,Cambodia,1,0,0
280,02/05/2020,Canada,5,0,0
281,02/05/2020,Finland,1,0,0
282,02/05/2020,France,6,0,0
283,02/05/2020,Germany,12,0,0
284,02/05/2020,Hong Kong,21,1,0
285,02/05/2020,India,3,0,0
286,02/05/2020,Italy,2,0,0
287,02/05/2020,Japan,22,0,1
288,02/05/2020,Macau,10,0,0
289,02/05/2020,Mainland China,27409,562,1115
290,02/05/2020,Malaysia,12,0,0
291,02/05/2020,Nepal,1,0,0
292,02/05/2020,Philippines,2,1,0
293,02/05/2020,Russia,2,0,0
294,02/05/2020,Singapore,28,0,0
